Window training time,Source ID,Collection time,Publishing time,Preprocessing time start,Preprocessing time end,Data arrival time
3959098178,ce1630f2,1750109297.2050538,3959098177.1049385,3959098178.9434333,3959098179.0866947,1750109299.5016613
3959098180,50931061,1750109299.0569243,3959098178.963187,3959098180.918377,3959098181.0486746,1750109301.2065816
3959098180,50931061,1750109299.0569243,3959098178.963187,3959098180.918377,3959098181.0486746,1750109301.2670655
3959098182,31166487,1750109301.0294075,3959098180.9328904,3959098182.8352156,3959098182.9666147,1750109303.3267925
3959098182,31166487,1750109301.0294075,3959098180.9328904,3959098182.8352156,3959098182.9666147,1750109303.4728968
3959098184,31166487,1750109302.9161346,3959098182.8169103,3959098184.7915144,3959098184.9522038,1750109305.0989587
3959098184,31166487,1750109302.9161346,3959098182.8169103,3959098184.7915144,3959098184.9522038,1750109305.1726959
3959098186,ce1630f2,1750109304.9252245,3959098184.8230643,3959098186.6670547,3959098186.798491,1750109306.9540844
3959098186,ce1630f2,1750109304.9252245,3959098184.8230643,3959098186.6670547,3959098186.798491,1750109307.0967932
3959098188,50931061,1750109306.7621486,3959098186.6616044,3959098188.5448413,3959098188.6712036,1750109308.934513
3959098188,50931061,1750109306.7621486,3959098186.6616044,3959098188.5448413,3959098188.6712036,1750109309.066747
3959098190,31166487,1750109308.7210767,3959098188.620092,3959098190.471967,3959098190.5957003,1750109310.753271
3959098190,31166487,1750109308.7210767,3959098188.620092,3959098190.471967,3959098190.5957003,1750109310.920216
3959098192,ce1630f2,1750109310.5629504,3959098190.461334,3959098192.392247,3959098192.5141177,1750109312.6631694
3959098192,ce1630f2,1750109310.5629504,3959098190.461334,3959098192.392247,3959098192.5141177,1750109312.816456
3959098194,31166487,1750109312.4911165,3959098192.392236,3959098194.297664,3959098194.4216013,1750109314.5729992
3959098194,31166487,1750109312.4911165,3959098192.392236,3959098194.297664,3959098194.4216013,1750109314.7194285
3959098196,406fed66,1750109314.3872342,3959098194.2927814,3959098196.309735,3959098196.4553757,1750109316.6026337
3959098196,406fed66,1750109314.3872342,3959098194.2927814,3959098196.309735,3959098196.4553757,1750109316.6688085
3959098198,406fed66,1750109316.4022627,3959098196.3042808,3959098198.1713448,3959098198.3118906,1750109318.4523885
3959098198,406fed66,1750109316.4022627,3959098196.3042808,3959098198.1713448,3959098198.3118906,1750109318.688444
3959098200,50931061,1750109318.301878,3959098198.201814,3959098200.1043863,3959098200.2520375,1750109320.3939683
3959098200,50931061,1750109318.301878,3959098198.201814,3959098200.1043863,3959098200.2520375,1750109320.8669415
3959098202,31166487,1750109320.2240407,3959098200.124197,3959098202.0139723,3959098202.161501,1750109322.3101995
3959098202,31166487,1750109320.2240407,3959098200.124197,3959098202.0139723,3959098202.161501,1750109322.5727363
3959098203,406fed66,1750109322.1488612,3959098202.050744,3959098203.9856133,3959098204.1242275,1750109324.264281
3959098203,406fed66,1750109322.1488612,3959098202.050744,3959098203.9856133,3959098204.1242275,1750109324.291047
3959098205,ce1630f2,1750109324.0766828,3959098203.9825473,3959098205.9331274,3959098206.0831084,1750109326.229918
3959098205,ce1630f2,1750109324.0766828,3959098203.9825473,3959098205.9331274,3959098206.0831084,1750109326.3759377
3959098207,50931061,1750109326.0211663,3959098205.927579,3959098207.9189467,3959098208.0550857,1750109328.200681
3959098207,50931061,1750109326.0211663,3959098205.927579,3959098207.9189467,3959098208.0550857,1750109328.3357778
3959098209,ce1630f2,1750109328.003991,3959098207.9086995,3959098209.8015366,3959098209.925078,1750109330.0909944
3959098209,ce1630f2,1750109328.003991,3959098207.9086995,3959098209.8015366,3959098209.925078,1750109330.3492675
3959098211,50931061,1750109329.8885493,3959098209.797518,3959098211.7133775,3959098211.8853564,1750109332.0338712
3959098211,50931061,1750109329.8885493,3959098209.797518,3959098211.7133775,3959098211.8853564,1750109332.177929
3959098213,37f483c2,1750109331.8155453,3959098211.7157435,3959098213.6739426,3959098213.8023696,1750109333.9379454
3959098213,37f483c2,1750109331.8155453,3959098211.7157435,3959098213.6739426,3959098213.8023696,1750109334.016657
3959098215,73cc0ebb,1750109333.7703803,3959098213.670087,3959098215.5578766,3959098215.6937046,1750109335.861634
3959098215,73cc0ebb,1750109333.7703803,3959098213.670087,3959098215.5578766,3959098215.6937046,1750109335.9923968
3959098217,31166487,1750109335.6523063,3959098215.5544047,3959098217.5348396,3959098217.673098,1750109337.8179598
3959098217,31166487,1750109335.6523063,3959098215.5544047,3959098217.5348396,3959098217.673098,1750109337.8513644
3959098219,50931061,1750109337.6301985,3959098217.5348506,3959098219.409051,3959098219.551619,1750109339.6953187
3959098219,50931061,1750109337.6301985,3959098217.5348506,3959098219.409051,3959098219.551619,1750109339.7448106
3959098221,73cc0ebb,1750109339.5746949,3959098219.4752703,3959098221.3401475,3959098221.4692345,1750109341.6192932
3959098221,73cc0ebb,1750109339.5746949,3959098219.4752703,3959098221.3401475,3959098221.4692345,1750109341.7652066
3959098223,50931061,1750109341.4317713,3959098221.332456,3959098223.312628,3959098223.441014,1750109343.6846194
3959098223,50931061,1750109341.4317713,3959098221.332456,3959098223.312628,3959098223.441014,1750109343.8341436
3959098225,ce1630f2,1750109343.4014742,3959098223.306141,3959098225.1919494,3959098225.3466573,1750109345.5881343
3959098225,ce1630f2,1750109343.4014742,3959098223.306141,3959098225.1919494,3959098225.3466573,1750109346.1085749
